text	sentiment
Wow Yall needa step it up Apple RT heynyla Music and snapchat at the same damn time Thank you Note4	-1
What Happened To Apple Inc?   httptcoFJEXI3oP0U  aapl apple MoneyPress httptcowXKmmTMArW	0
Thank u apple I can now compile all of the pics that i communicate with in one place httptcotq1lo09oyA	1
"The oddly uplifting story of the Apple cofounder who sold his stake for 800 
AAPL aapl
httptcoCiZbVR05PJ"	0
apple can i exchange my iphone for a different color lmao  i changed my mind	0
"RT JPDesloges Apple Acted Unfairly In Suppressing Digital Music Competition Paul Kedrosky AAPL aapl
httptcoXTbFhpbYf7"	-1
Lets not forget that press effects stock Apple to Defend Against iPod Antitrust Suit httptcopqJ0bKIMb8	0
Apple Inc Deleted Songs From Rival Services From iPods httptcodQwDFpcc4x AAPL	-1
TeamCavuto Apple Theyre staging a die in ar an Apple store while being on their iPhone	0
Happy Monday My camera on my fancy Apple iPhone6Plus suddenly stopped working this weekend so instead  I meme httptcoXdySgcxUuv	-1
"Facebook CEO Mark Zuckerberg criticizes Apple AAPL aapl
httptcoEVrsNVdeXe"	-1
fuck you too apple	-1
Apple  you need to sort your phones out	-1
OneRepublic Apple 45000 feet keep flying	0
MarkZuckerbergF of facebook and tim cook of apple are sparring but can we plz talk REAL connectivity on the web? httptcoAKfHP9pL9X	0
APPLE YOURE SHIT FIX MY PROBLEM	-1
Up 169 Is Apple Supplier Skyworks Still A Buy? SWKS  AAPL BRCM MU QCOM VTI httptcoYcxoMNmHqo	0
Theyre not RT Naivana You gotta be kidding me apple httptcoGeeL25AlT1	-1
"What to expect from Apple in 2015 AAPL aapl
httptco7Dq9vBdt3H"	0
Confirmed Bose speakers returning to Apple Stores after removal earlier this year  httptcoyXPyde3TvQ AAPL BeatsElectronics	0
apple iphone4 oh its not fair and i think youre really mean	-1
How Competition Between Wireless Carriers Benefits Apple Inc  The Motley Fool aapl httptcomQe4NT0vXr	0
Does apple store in Georgetown sell refurbd iPads? Or just new? Are refurbs only available online?	0
How is my battery already 83 within 15 minutes of usage Fix up apple	-1
UberFacts i can think of 100 reasons not to if your on a 4s Fuck apple	-1
How long does it really take for a phone to ship apple smh	-1
brwnskinbeauti cause fuck apple	-1
lanadelreystan KILL YOURSELF apple	-1
THEHIITCOACH weightsmate Apple its similar to an existing app called cardio guru interestingly Maybe Apple have noticed this?	0
AAPLPale hoarse Steve Jobs defends Apple in videotaped deposition in iPodhttptcoSNmpSx4TDo	0
apple ur a disgrace	-1
apple The iPad update to iOS 8 is an absolute disaster Nothing works right anymore Safari crashes constantly iFail	-1
AAPLApple trial continues without a plaintiff for nowhttptcoDjDkC4HkPZ	0
Finally Brooklyn Is Getting Its Own Apple Store aapl httptcoIpjMgjGQw5 httptcoOw2BSRLbAx	1
RT SwiftKey Were so excited to be named to Apples App Store Best of 2014 list this year httptcod7qlmti4Uf Apple	1
"The best link of the day on usemuzli Tech facebook CEO Mark Zuckerberg goes after timcook  Apple  AppAdvice
httptcocDnZCthRlA"	0
PCAudioLabs is in and Apple is out at Emanon Records  Apple was premium product Now it is an average product with a premium price	-1
Realised the reason apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar	-1
apple yall shitty	-1
Finally updated to iOS 8this happened ha weird glitch fix it please apple httptcoLCoGg7yfEz	-1
RT jopocop TheStreet  Apple Gets Price Target Boost on Back of Strong iPhone Demand aapl  httptcof2qTGIBDDq	0
How to Make Apple Special Again aapl httptcoEiAP7Kmelu	0
swerviinnn Apple clearly its a sign they doing u a favor	0
apple macos yosemite is a buggy piece of shit It makes me miss windows8	-1
Im surprised there isnt more talk about what looked like a flash crash in AAPL yesterday Biggest range in years and largely ignored	-1
Shockingly iMessage on the desktop is fucked up again Great work apple Seriously on point with network services as only you can do	-1
The hell does this mean apple one day Skype wont let me login now I cant even open the app httptcoSegFVq5Mzx	-1
Tryng to get back on snapchat but the App Store isnt cooperating apple	-1
Apple Adds New Flyover Locations to Maps Siri Movie Showtimes in More Countries iOS Blog httptco758TjE7alk AAPL	0
apple fucking let everyone name the group chats their own things please and thanks	-1
dougluberts Apple Is it the 128gb version?	0
Apple your chargers SUCK	-1
The questions every CIO should ask about Apple iWatch httptco1RSxT3CMlZ	0
RT saigeist the most offensive thing is the lack of a trashcan emoji stop the discrimination apple	-1
apple fuck you	-1
"RT JPDesloges Higher Price Targets Are Not Helping Apples Shares AAPL aapl
httptcoQTLiiXy1Ed"	-1
Apple heads to trial over iTunes update AAPL httptcoBevWxGyCVk	0
AAPLNew FarReaching Apple Patent Reveals Next iPhone May Demonstrate A ChttptcoCe8dwGBHz0	0
apple Why is your NYC Grand Central store so bad when it comes to service? 14th Street is much much better	-1
Im not happy about that apple	-1
RT adage Watch the weekends new TV ads from RadioShack Apple and more httptcocKdkibI6PL	0
tehhGOAT Apple do you by accident have me blocked or?	-1
Real tired of my charger breaking every month Apple	-1
Is Apple The Most Important Stock On Earth?  httptcoYkyiwKnL5S aapl httptcoeiAOHl8LL1	0
Apple get your shit together I hate you	-1
Nasdaq big fall FB Baba Twtr Linkd Apple fell 36 on Monday See whether follow up 	-1
fucking faggots apple	-1
"are u android or ios? aapl samsung aapl ApplePay apple GoodMore
GivingTuesday
StonerSports
3YearsOf5SOS
FlashvsArrow
stocks"	0
honestly fuuuuccckkkk you apple httptco0aV4VreGUj	-1
Apple Stop liking man	-1
SSComposer Apple seems to ignore any key presses like command r and is just doing its own thing	-1
"RT JPDesloges APPLE  Fibonacci Technicals Levels  LAST Intraday  Update  AAPL aapl 
httptco9tLzXOlfzG"	0
Note to apple Mail STILL has trouble sending  The last update didnt fix it  Mail that doesnt send?  Not so useful	-1
brettgilmour Apple Youre not the only one apparently based on that last interview we did with carmilevy	0
No macbook todaycharger broken help please apple what can i do	-1
Google May Be the Big Winner in LAUSDs IPad Scandal httptcoYVDioMcl4r via BW aapl	0
